,model_name,frame_number,people,error,perc_error,time,filter,model_name_true,people_true
105,ssd_mobilenet_v1_ppn_coco,106.0,2,1.0,0.6666666666666666,7.993966817496229,5.0,Ground Truth,6
106,ssd_mobilenet_v1_ppn_coco,107.0,2,1.0,0.6666666666666666,8.069381598793363,5.0,Ground Truth,6
107,ssd_mobilenet_v1_ppn_coco,108.0,3,1.0,0.5,8.144796380090497,5.0,Ground Truth,6
108,ssd_mobilenet_v1_ppn_coco,109.0,6,1.0,0.0,8.220211161387633,5.0,Ground Truth,6
109,ssd_mobilenet_v1_ppn_coco,110.0,5,1.0,0.16666666666666666,8.295625942684767,5.0,Ground Truth,6
110,ssd_mobilenet_v1_ppn_coco,111.0,3,1.0,0.5,8.371040723981901,5.0,Ground Truth,6
111,ssd_mobilenet_v1_ppn_coco,112.0,4,1.0,0.3333333333333333,8.446455505279035,5.0,Ground Truth,6
112,ssd_mobilenet_v1_ppn_coco,113.0,4,1.0,0.3333333333333333,8.521870286576169,5.0,Ground Truth,6
113,ssd_mobilenet_v1_ppn_coco,114.0,5,1.0,0.16666666666666666,8.597285067873303,5.0,Ground Truth,6
114,ssd_mobilenet_v1_ppn_coco,115.0,4,1.0,0.3333333333333333,8.672699849170437,5.0,Ground Truth,6
115,ssd_mobilenet_v1_ppn_coco,116.0,3,2.0,0.5714285714285714,8.748114630467573,5.0,Ground Truth,7
116,ssd_mobilenet_v1_ppn_coco,117.0,5,1.0,0.2857142857142857,8.823529411764707,6.0,Ground Truth,7
117,ssd_mobilenet_v1_ppn_coco,118.0,6,1.0,0.14285714285714285,8.89894419306184,6.0,Ground Truth,7
118,ssd_mobilenet_v1_ppn_coco,119.0,5,1.0,0.2857142857142857,8.974358974358974,6.0,Ground Truth,7
119,ssd_mobilenet_v1_ppn_coco,120.0,5,1.0,0.2857142857142857,9.049773755656108,6.0,Ground Truth,7
120,ssd_mobilenet_v1_ppn_coco,121.0,1,1.0,0.8571428571428571,9.125188536953242,6.0,Ground Truth,7
121,ssd_mobilenet_v1_ppn_coco,122.0,5,1.0,0.2857142857142857,9.200603318250376,6.0,Ground Truth,7
122,ssd_mobilenet_v1_ppn_coco,123.0,4,1.0,0.42857142857142855,9.276018099547512,6.0,Ground Truth,7
123,ssd_mobilenet_v1_ppn_coco,124.0,6,1.0,0.14285714285714285,9.351432880844646,6.0,Ground Truth,7
124,ssd_mobilenet_v1_ppn_coco,125.0,7,1.0,0.0,9.42684766214178,6.0,Ground Truth,7
125,ssd_mobilenet_v1_ppn_coco,126.0,9,1.0,0.2857142857142857,9.502262443438914,6.0,Ground Truth,7
126,ssd_mobilenet_v1_ppn_coco,127.0,8,1.0,0.14285714285714285,9.577677224736048,6.0,Ground Truth,7
127,ssd_mobilenet_v1_ppn_coco,128.0,6,1.0,0.14285714285714285,9.653092006033182,6.0,Ground Truth,7
128,ssd_mobilenet_v1_ppn_coco,129.0,9,1.0,0.2857142857142857,9.728506787330318,6.0,Ground Truth,7
129,ssd_mobilenet_v1_ppn_coco,130.0,10,0.0,0.42857142857142855,9.803921568627452,7.0,Ground Truth,7
130,ssd_mobilenet_v1_ppn_coco,131.0,8,0.0,0.14285714285714285,9.879336349924586,7.0,Ground Truth,7
131,ssd_mobilenet_v1_ppn_coco,132.0,7,0.0,0.0,9.95475113122172,7.0,Ground Truth,7
132,ssd_mobilenet_v1_ppn_coco,133.0,7,1.0,0.125,10.030165912518854,7.0,Ground Truth,8
133,ssd_mobilenet_v1_ppn_coco,134.0,8,1.0,0.0,10.105580693815988,7.0,Ground Truth,8
134,ssd_mobilenet_v1_ppn_coco,135.0,7,1.0,0.125,10.180995475113122,7.0,Ground Truth,8
135,ssd_mobilenet_v1_ppn_coco,136.0,8,1.0,0.0,10.256410256410257,7.0,Ground Truth,8
136,ssd_mobilenet_v1_ppn_coco,137.0,9,1.0,0.125,10.331825037707391,7.0,Ground Truth,8
137,ssd_mobilenet_v1_ppn_coco,138.0,10,1.0,0.25,10.407239819004525,7.0,Ground Truth,8
138,ssd_mobilenet_v1_ppn_coco,139.0,7,1.0,0.125,10.48265460030166,7.0,Ground Truth,8
139,ssd_mobilenet_v1_ppn_coco,140.0,8,1.0,0.0,10.558069381598793,7.0,Ground Truth,8
140,ssd_mobilenet_v1_ppn_coco,141.0,9,1.0,0.125,10.633484162895927,7.0,Ground Truth,8
141,ssd_mobilenet_v1_ppn_coco,142.0,7,1.0,0.125,10.708898944193063,7.0,Ground Truth,8
142,ssd_mobilenet_v1_ppn_coco,143.0,8,1.0,0.0,10.784313725490197,7.0,Ground Truth,8
143,ssd_mobilenet_v1_ppn_coco,144.0,9,1.0,0.125,10.85972850678733,7.0,Ground Truth,8
144,ssd_mobilenet_v1_ppn_coco,145.0,7,1.0,0.125,10.935143288084465,7.0,Ground Truth,8
145,ssd_mobilenet_v1_ppn_coco,146.0,9,1.0,0.125,11.010558069381599,7.0,Ground Truth,8
146,ssd_mobilenet_v1_ppn_coco,147.0,6,1.0,0.25,11.085972850678733,7.0,Ground Truth,8
147,ssd_mobilenet_v1_ppn_coco,148.0,6,0.0,0.14285714285714285,11.161387631975867,7.0,Ground Truth,7
148,ssd_mobilenet_v1_ppn_coco,149.0,8,0.0,0.14285714285714285,11.236802413273002,7.0,Ground Truth,7
149,ssd_mobilenet_v1_ppn_coco,150.0,7,0.0,0.0,11.312217194570136,7.0,Ground Truth,7
150,ssd_mobilenet_v1_ppn_coco,151.0,7,0.0,0.0,11.38763197586727,7.0,Ground Truth,7
151,ssd_mobilenet_v1_ppn_coco,152.0,7,0.0,0.0,11.463046757164404,7.0,Ground Truth,7
152,ssd_mobilenet_v1_ppn_coco,153.0,6,0.0,0.14285714285714285,11.538461538461538,7.0,Ground Truth,7
153,ssd_mobilenet_v1_ppn_coco,154.0,7,0.0,0.0,11.613876319758672,7.0,Ground Truth,7
154,ssd_mobilenet_v1_ppn_coco,155.0,8,0.0,0.14285714285714285,11.689291101055806,7.0,Ground Truth,7
155,ssd_mobilenet_v1_ppn_coco,156.0,6,0.0,0.14285714285714285,11.764705882352942,7.0,Ground Truth,7
156,ssd_mobilenet_v1_ppn_coco,157.0,7,0.0,0.0,11.840120663650076,7.0,Ground Truth,7
157,ssd_mobilenet_v1_ppn_coco,158.0,5,0.0,0.2857142857142857,11.91553544494721,7.0,Ground Truth,7
158,ssd_mobilenet_v1_ppn_coco,159.0,7,0.0,0.0,11.990950226244344,7.0,Ground Truth,7
159,ssd_mobilenet_v1_ppn_coco,160.0,9,0.0,0.2857142857142857,12.066365007541478,7.0,Ground Truth,7
